Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1990,4,0,63,18,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,
1990,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6,137,50,17,0,1,0,0,0,0,0,0,0,11,28,0,9,1
1990,6,10,1,0,0,91,102,28,6,0,0,0,0,0,42,54,4,0,30,75,53,111,2,29,122,146,119,18,68,44,46,
1990,7,131,12,33,73,24,133,57,33,47,49,12,14,17,66,129,12,34,5,25,67,48,58,0,12,9,9,0,1,65,31,5
1990,8,44,8,0,0,4,23,3,0,2,0,0,11,1,0,1,6,26,11,0,0,5,7,6,18,28,53,4,1,8,0,7
1990,9,13,64,39,29,19,23,6,1,2,3,0,0,4,10,0,2,0,31,0,0,0,0,0,0,0,0,3,23,0,0,
1990,10,0,12,12,6,3,0,14,82,51,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,11,0,0,2,12,173,0,35,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1990,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,1,0,0,0,0,0,0,0,0,0,0,0
1991,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1991,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,4,13,51,0,35,0,64,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,
1991,5,3,0,0,47,0,2,0,1,44,22,0,0,0,0,0,0,7,12,0,0,16,0,0,16,37,0,0,0,3,0,0
1991,6,3,82,22,0,3,0,4,177,95,74,50,152,17,46,50,135,140,25,58,15,0,30,2,42,1,8,0,22,26,18,
1991,7,49,76,78,66,20,2,32,16,6,7,21,0,1,0,0,1,99,84,100,40,21,56,8,1,1,6,1,1,7,64,14
1991,8,69,35,73,91,123,15,0,0,2,42,30,35,21,9,1,9,26,7,0,0,4,6,49,84,11,9,18,1,0,6,6
1991,9,20,12,27,31,88,53,36,28,0,0,3,1,1,1,8,0,0,0,0,0,0,1,17,64,84,1,14,7,0,0,
1991,10,0,0,0,7,4,4,2,20,0,0,0,0,6,58,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
1991,11,70,0,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1991,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
1992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
